jaw_width,face_height,cheekbone_width,chin_angle,label
1.1797997330851313,1.0,1.1604420093364103,1.6027790148886187,Heart
1.0993224560539707,1.0,1.0743846672114248,1.5028283534052524,Heart
1.193541586239435,1.0,1.1691362164918964,1.5560210082137875,Heart
1.3141936670539212,1.0,1.282316479368926,1.6509982878483656,Heart
1.062481005092582,1.0,1.048254389730379,1.4947104827350979,Heart
1.120345426308221,1.0,1.1065343990182774,1.5922312953914335,Heart
1.0818064814372836,1.0,1.057413639795776,1.5065379585968734,Heart
0.8692167688546043,1.0,0.8530982843948282,1.2922527319971933,Heart
1.098003837430929,1.0,1.0736460570519697,1.5321179512594012,Heart
1.1781665321351942,1.0,1.1641482343364857,1.6163297373286512,Heart
1.6421243432490178,1.0,1.618403295019188,1.9476092997773828,Heart
1.1600140806063315,1.0,1.14092025218848,1.639067334421646,Heart
1.222871573895534,1.0,1.1990698686063,1.5407868085870027,Heart
1.0506994778408605,1.0,1.0336215215357099,1.470605479628264,Heart
0.7592251097951211,1.0,0.7496884291020277,1.1273385926014676,Heart
1.009867637910646,1.0,0.9948696729029589,1.4955507246616349,Heart
0.9530472752211542,1.0,0.9342845750501789,1.412740041028574,Heart
1.2891028192126424,1.0,1.2589531429041363,1.7126216450773577,Heart
1.0528004604264503,1.0,1.023830410063156,1.444880766251929,Heart
1.1949358516120892,1.0,1.165410336578047,1.6080956909092914,Heart
0.8663277034643897,1.0,0.844989276875303,1.2596237572534397,Heart
0.9435734798428199,1.0,0.9223445272512321,1.3472743530434603,Heart
1.0237925398340628,1.0,1.0073792021846666,1.4346791173847768,Heart
1.1185421121259154,1.0,1.0928172617559038,1.5684415467738224,Heart
1.122812516731447,1.0,1.0968005896474917,1.4965161091162738,Heart
1.130261323872657,1.0,1.1153836779742727,1.5430402915281891,Heart
0.8754484821239688,1.0,0.8611180226376091,1.2626575071201585,Heart
0.8799518371032117,1.0,0.8587747511829938,1.2641438497516941,Heart
1.2193719615298761,1.0,1.2001008728907623,1.609862467707403,Heart
1.130335805628024,1.0,1.11507353366539,1.5701253101420438,Heart
1.291515997751227,1.0,1.2591256619947695,1.6991272549490215,Heart
0.9818181253773758,1.0,0.9638582308228922,1.411758871529096,Heart
1.0092704033213005,1.0,0.9895600857997814,1.4163381494406875,Heart
1.1268450497077511,1.0,1.1100474453876337,1.501679265331315,Heart
1.0919642887097838,1.0,1.062806164828045,1.4540829747266864,Heart
1.0746018176604,1.0,1.0602773601316178,1.4821377604301278,Heart
1.3193751993531937,1.0,1.2883816246722442,1.6788317197862486,Heart
1.065497310314568,1.0,1.0492431434875005,1.479157401759953,Heart
1.1093666630447412,1.0,1.080613487120347,1.5026631153182972,Heart
1.1379598138423357,1.0,1.1188203359881794,1.532034709623582,Heart
1.4158062420773523,1.0,1.373720252476792,1.6922684623845272,Heart
0.895250002748624,1.0,0.8842500238308799,1.2935058548227814,Heart
1.0389061487807838,1.0,1.0213535556418218,1.4375803531081364,Heart
1.277470764248162,1.0,1.2530865254432924,1.6343568394891501,Heart
1.0375723575199063,1.0,1.0165565594837596,1.4299574855853092,Heart
1.258156173322088,1.0,1.229059992997229,1.6367573412393788,Heart
1.1271776734723362,1.0,1.1033018790710736,1.5318639291362417,Heart
1.2052509795642794,1.0,1.1863541137496338,1.6331415970065322,Heart
1.1689032473521508,1.0,1.1524323235397345,1.60549138104592,Heart
0.9470768915450585,1.0,0.9212013773018858,1.4162299371594331,Heart
0.7656052748735044,1.0,0.7539050186315475,1.1536681877387485,Heart
1.208499215353973,1.0,1.1952617083452268,1.653617304643904,Heart
1.3349612095929786,1.0,1.3016624501586518,1.6782525937182244,Heart
1.269384724822707,1.0,1.2442351161092813,1.6416107751908386,Heart
1.0492789000301113,1.0,1.0330641428047775,1.5035717684236134,Heart
0.8658544445771676,1.0,0.8521417473982897,1.2412280195232,Heart
1.2765999440486506,1.0,1.248268223183066,1.595542283418879,Heart
1.0741662894925612,1.0,1.0447296958139336,1.4257704722558449,Heart
1.0445546193539448,1.0,1.0215094649998173,1.4706602565167908,Heart
1.069419865775526,1.0,1.046409497045768,1.4609284511967562,Heart
1.0793087994754096,1.0,1.05454756195574,1.473930292380901,Heart
0.9930071375275666,1.0,0.9705759161365216,1.39624277614304,Heart
1.0868523491039621,1.0,1.0692259246501854,1.5164034024210078,Heart
1.1596105492000366,1.0,1.1371864297990322,1.562375837689248,Heart
